dataset,model,imputer,mechanism,regime,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.1,0.8333333333333334,0.0796511598800243,0.8949999999999999,0.045892218065946,0.1329314462513425,0.0381803077341934,0.1251365590283406,0.0209243214977448,-0.0037037037037036,-0.0016666666666667,0.0049339503461372,0.0067175402379186
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.2,0.8074074074074075,0.0912870929175277,0.881111111111111,0.0434635685387596,0.1375604344714952,0.0373031774368866,0.1255772759308684,0.0410506859755029,-0.0296296296296296,-0.0155555555555556,0.00956293856629,0.0071582571404465
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.3,0.7962962962962963,0.0858668379212565,0.8761111111111111,0.051551918573822,0.1420913398462218,0.04220861249678,0.1236316093205002,0.0224384575210246,-0.0407407407407407,-0.0205555555555555,0.0140938439410166,0.0052125905300783
statlog_heart,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.5,0.7666666666666666,0.0747652934747642,0.8375,0.077155246735173,0.1580355750534702,0.0423226698255174,0.1195584537350301,0.0188874883982118,-0.0703703703703703,-0.0591666666666666,0.030038079148265,0.0011394349446082
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.1,0.825925925925926,0.0700284088932927,0.8880555555555556,0.0355539279141342,0.1350481273872426,0.0340341517721398,0.1034235259359281,0.0178032316477848,-0.011111111111111,-0.0086111111111111,0.0070506314820374,-0.0149954928544937
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.2,0.8,0.0901530477380598,0.8761111111111111,0.0411472251288282,0.1399224123953515,0.0331939979196749,0.1377619252407052,0.0390955311664642,-0.037037037037037,-0.0205555555555555,0.0119249164901462,0.0193429064502833
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.3,0.7777777777777778,0.0858668379212565,0.8380555555555557,0.0757078224671404,0.1671898381810202,0.046212373446647,0.1552198036035713,0.059046714325903,-0.0592592592592592,-0.0586111111111111,0.039192342275815,0.0368007848131494
statlog_heart,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.5,0.737037037037037,0.0721984766282145,0.7833333333333333,0.0791179187145894,0.1852461894683413,0.0408422099060024,0.1734498860095749,0.0282219280007749,-0.0999999999999999,-0.1133333333333333,0.0572486935631361,0.055030867219153
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.1,0.9754230709517157,0.0143925184611641,0.9953108833881844,0.0061629157370857,0.0214218970056669,0.0082163405575432,0.0323078037671386,0.0064199587467653,-2.220446049250313e-17,-6.895377432554195e-05,0.0015364855053661,0.0009497945873214
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.2,0.971914299021891,0.0129821039238,0.9943871671025292,0.0071964220238758,0.0218308325922097,0.0090217268694983,0.0297166910613399,0.0092783985786528,-0.0035087719298245,-0.0009926700599808,0.0019454210919089,-0.0016413181184772
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.3,0.966651141127154,0.0199792641860203,0.9945774561234764,0.0072594104376681,0.0227118955401357,0.0087267260957688,0.0378057599698319,0.0116475882409011,-0.0087719298245614,-0.0008023810390334,0.0028264840398348,0.0064477507900147
wdbc,logistic_regression,iterative,mcar,clean_train_corrupt_test,0.5,0.9508150908244062,0.0098929792783487,0.9908258118911574,0.0091011302620126,0.0332148194579971,0.0062192963163671,0.0464336396613962,0.0101688452833843,-0.0246079801273094,-0.0045540252713524,0.0133294079576963,0.015075630481579
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.1,0.9701599130569788,0.0170757644740154,0.9946589311926683,0.0058372364547827,0.0212479518661676,0.0081720891676243,0.0347477918716046,0.0115579760632848,-0.0052631578947368,-0.0007209059698414,0.0013625403658667,0.0033897826917874
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.2,0.966651141127154,0.0235173234682192,0.9921680167135458,0.0065215480931681,0.0240535170191581,0.0102202873619266,0.0373613111460256,0.0121412224240631,-0.0087719298245614,-0.0032118204489642,0.0041681055188572,0.0060033019662084
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.3,0.966651141127154,0.0209199515735173,0.9941276860127172,0.0054924336232728,0.0232424634206927,0.0083288074108571,0.0335882591234694,0.0110483821906263,-0.0087719298245614,-0.0012521511497928,0.0033570519203919,0.0022302499436522
wdbc,logistic_regression,iterative,mcar,corrupt_train_corrupt_test,0.5,0.9578326346840552,0.0226819976175057,0.9957735430671888,0.0044200579063015,0.0280540717773977,0.0067499413853165,0.0397505796824343,0.0122937726380323,-0.0175904362676603,0.0003937059046787,0.0081686602770968,0.0083925705026171
