dataset,model,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_accuracy_change,mean_roc_auc_change,mean_brier_change
statlog_heart,random_forest,mar,0.1,0.8185185185185185,0.0576755981570275,0.8919444444444444,0.0361898180721977,0.1301504629629629,0.0256062768951461,-0.0037037037037037,0.0043055555555555,-0.0014550925925925
statlog_heart,random_forest,mar,0.2,0.8111111111111111,0.0530289669010235,0.8922222222222222,0.037795900473366,0.1291018518518518,0.0276595349906719,-0.0111111111111111,0.0045833333333333,-0.0025037037037036
statlog_heart,random_forest,mar,0.3,0.8185185185185185,0.0605756564214671,0.8819444444444444,0.0341515605720467,0.1309528703703703,0.0234302561860206,-0.0037037037037037,-0.0056944444444444,-0.0006526851851851
statlog_heart,random_forest,mar,0.5,0.8222222222222222,0.053351334410696,0.8775000000000001,0.0335014568045136,0.1336912037037037,0.0253301257707511,-2.220446049250313e-17,-0.0101388888888888,0.0020856481481481
statlog_heart,random_forest,mcar,0.1,0.8148148148148149,0.0539902953226416,0.8838888888888888,0.0547277739710575,0.133472037037037,0.0325922127365017,-0.0074074074074074,-0.0037499999999999,0.0018664814814815
statlog_heart,random_forest,mcar,0.2,0.8333333333333334,0.0752225778207033,0.8797222222222223,0.0484356954064476,0.1393042592592592,0.0263064238644383,0.011111111111111,-0.0079166666666666,0.0076987037037037
statlog_heart,random_forest,mcar,0.3,0.788888888888889,0.0360992383141073,0.8393055555555555,0.0516290372229416,0.1597103703703703,0.0257779980347091,-0.0333333333333333,-0.0483333333333333,0.0281048148148148
statlog_heart,random_forest,mcar,0.5,0.7333333333333333,0.0649469552472229,0.795,0.0851542944191583,0.1823958621505323,0.0400315837306332,-0.0888888888888889,-0.0926388888888889,0.0507903065949768
statlog_heart,random_forest,mnar,0.1,0.8222222222222223,0.0636132001382136,0.8797222222222223,0.0451880074634688,0.1354764814814814,0.0289830655358572,2.220446049250313e-17,-0.0079166666666666,0.0038709259259259
statlog_heart,random_forest,mnar,0.2,0.8148148148148149,0.0654728501098655,0.8836111111111112,0.0460762711419411,0.1332522222222222,0.0292706322309773,-0.0074074074074074,-0.0040277777777777,0.0016466666666666
statlog_heart,random_forest,mnar,0.3,0.8555555555555555,0.0356210815956877,0.8881944444444445,0.0374356443665098,0.1294597222222221,0.0239606940664623,0.0333333333333333,0.0005555555555556,-0.0021458333333333
statlog_heart,random_forest,mnar,0.5,0.8518518518518519,0.0434297755539206,0.8897222222222222,0.0321640998783994,0.1297897222222222,0.0232515120277878,0.0296296296296296,0.0020833333333333,-0.0018158333333333
