dataset,model,fold,accuracy,roc_auc,brier
wdbc,logistic_regression,0,0.9736842105263158,0.9954143465443825,0.021018353357749434
wdbc,random_forest,0,0.9649122807017544,0.998689813298395,0.025110526315789475
wdbc,gradient_boosting,0,0.9824561403508771,0.9996724533245988,0.0074928346745583956
wdbc,logistic_regression,1,0.956140350877193,0.9977071732721913,0.02594545017561732
wdbc,random_forest,1,0.9385964912280702,0.976580412708811,0.0442188596491228
wdbc,gradient_boosting,1,0.9385964912280702,0.9921388797903701,0.046915140990998305
wdbc,logistic_regression,2,0.9649122807017544,0.9851190476190477,0.029953816011515137
wdbc,random_forest,2,0.956140350877193,0.9857804232804233,0.0340796052631579
wdbc,gradient_boosting,2,0.9385964912280702,0.9808201058201058,0.04240254159283157
wdbc,logistic_regression,3,0.9912280701754386,1.0,0.011000044840995779
wdbc,random_forest,3,0.9473684210526315,0.994047619047619,0.03719407894736842
wdbc,gradient_boosting,3,0.9736842105263158,0.9990079365079365,0.01840286537881694
wdbc,logistic_regression,4,0.9911504424778761,0.9986586183769282,0.011509393115626572
wdbc,random_forest,4,0.9646017699115044,0.9927900737759893,0.027384292035398227
wdbc,gradient_boosting,4,0.9557522123893806,0.9818913480885312,0.028925123763130688
