dataset,model,imputer,mechanism,rate,mean_accuracy,std_accuracy,mean_roc_auc,std_roc_auc,mean_brier,std_brier,mean_ece,std_ece,mean_accuracy_change_vs_clean,mean_roc_auc_change_vs_clean,mean_brier_change_vs_clean,mean_ece_change_vs_clean
wdbc,logistic_regression,iterative,mar,0.1,0.9701599130569788,0.02525553642636958,0.9949212718169482,0.005838045132283044,0.02085269775320287,0.009889059042377236,0.035642445371017836,0.01196631319396374,-0.005263157894736836,-0.00045856534556174553,0.0009672862529020228,0.004284436191200635
wdbc,logistic_regression,iterative,mar,0.2,0.9666511411271541,0.025855069761642507,0.9942674349282603,0.005720095194038347,0.022110643869991637,0.010866363223999179,0.03497308090760259,0.011104965715579843,-0.008771929824561408,-0.0011124022342495986,0.0022252323696907886,0.0036150717277853876
wdbc,logistic_regression,iterative,mar,0.3,0.9666511411271541,0.029340271206943137,0.9934819511383546,0.006171007846178654,0.023496073082150605,0.01120909734170094,0.036280004427114765,0.012371082389219792,-0.008771929824561408,-0.001897886024155282,0.0036106615818497557,0.0049219952472975646
wdbc,logistic_regression,iterative,mar,0.5,0.9666511411271541,0.018992040990669798,0.9925454319370139,0.006072897541839942,0.02748494396160354,0.009997870474836402,0.041306005395912636,0.01073324279511746,-0.008771929824561386,-0.0028344052254959395,0.007599532461302694,0.009947996216095437
wdbc,logistic_regression,iterative,mcar,0.1,0.9701599130569788,0.01707576447401545,0.9946589311926685,0.005837236454782706,0.021247951866167625,0.008172089167624321,0.034747791871604636,0.011557976063284807,-0.0052631578947368585,-0.0007209059698414233,0.0013625403658667774,0.0033897826917874394
wdbc,logistic_regression,iterative,mcar,0.2,0.9666511411271541,0.023517323468219255,0.9921680167135458,0.006521548093168151,0.024053517019158126,0.01022028736192661,0.0373613111460256,0.01214122242406315,-0.008771929824561408,-0.0032118204489642197,0.00416810551885728,0.006003301966208403
wdbc,logistic_regression,iterative,mcar,0.3,0.9666511411271541,0.020919951573517347,0.9941276860127172,0.005492433623272821,0.02324246342069278,0.008328807410857167,0.03358825912346947,0.011048382190626382,-0.008771929824561408,-0.0012521511497928018,0.003357051920391929,0.0022302499436522754
wdbc,logistic_regression,iterative,mcar,0.5,0.9578326346840553,0.022681997617505712,0.9957735430671887,0.0044200579063015276,0.02805407177739771,0.006749941385316577,0.039750579682434374,0.012293772638032387,-0.017590436267660305,0.0003937059046787539,0.00816866027709686,0.008392570502617172
wdbc,logistic_regression,iterative,mnar,0.1,0.971914299021891,0.019984375917937384,0.9957086403000257,0.00585281862264606,0.020961975723238237,0.007899841868239126,0.038236198373608,0.010175808590429049,-0.0035087719298245723,0.0003288031375158873,0.0010765642229373905,0.006878189193790798
wdbc,logistic_regression,iterative,mnar,0.2,0.9736531594472908,0.020555559267282118,0.9945297755525401,0.006481398611951217,0.020668490553077647,0.008664551417117755,0.03436131788392455,0.006311243918482457,-0.0017699115044248037,-0.000850061609969921,0.0007830790527767996,0.003003308704107346
wdbc,logistic_regression,iterative,mnar,0.3,0.9718987734823784,0.01899572124374411,0.9940605952684237,0.006373861088068361,0.023037073517812756,0.01036108508917121,0.034513294872471574,0.008484001638198626,-0.00352429746933709,-0.0013192418940863205,0.0031516620175119072,0.0031552856926543756
wdbc,logistic_regression,iterative,mnar,0.5,0.9754230709517155,0.01439251846116419,0.9936635099139194,0.006483220954326706,0.021603397127700468,0.010776277131180767,0.030540016898466766,0.014695869961689508,0.0,-0.00171632724859061,0.0017179856273996188,-0.0008179922813504354
